Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Cottage cheese with vegetables,0,1,1,0,95,4.2,11,0.1,56,403,86,3,0.1,0,0.4
Salmon,0,1,1,1,127,4.4,21,0.38,7,75,366,0,0,435,0
Cereals-Corn Flakes,1,0,0,0,384,0.9,5.9,19.4,2,571,107,88,2.7,286,7.8
Beans,0,1,1,0,31,0.2,1.8,1.03,37,6,211,7,2.7,0,3.3
Lentils,0,1,1,0,101,0.5,8.8,3.1,14,246,284,21,0,0,0
Pasta with corn homemade,0,1,1,0,126,0.7,2.6,0.25,1,0,31,28,4.8,0,0
Tea,1,0,0,0,1,0,0,0.08,2,1,9,0.2,0,0,0
Apples,1,0,0,0,52,0.2,0.3,0.12,6,1,107,14,24,0,10
Strawberries,1,0,0,0,32,0.3,0.7,0.41,16,1,153,7.7,2,0,4.9
Quninoa,1,1,0,0,120,1.9,4.4,1.49,17,7,172,21,2.8,0,0.9
Goat meat,0,1,1,1,109,2.3,21,2.83,13,82,385,57,0,0,0
Rabbit meat,0,1,1,1,114,2.3,22,3.2,12,50,378,0,0,0,0
Chicken Strips,0,0,1,1,295,15,19,0.72,11,798,334,22,1.1,0,0.3
Steak Fries,0,1,1,1,255,13,3.3,0.69,19,43,551,31,3.5,0,0.9
Mexican Rice,0,1,1,0,195,4.9,3.6,1.18,39,677,131,34,1.1,0,1.4
Fried Shrimp,0,0,1,1,319,20,14,1.54,47,1400,128,21,1.5,0,0.8
Spaghetti and meatballs,0,0,1,1,170,8.5,7.8,1.29,45,351,206,16,1.5,0,2
Macroni n Cheese,0,1,1,0,194,12,6.5,57,145,375,127,16,1.1,0,2.8
Pork cooked,0,0,1,1,297,21,26,1.29,22,73,362,0,0,0,0
Bacon cooked,0,0,1,1,146,2.8,28,0.56,7,993,999,1.8,0,0,1.2
Nachos,1,1,1,0,350,22,4.3,0.75,63,313,362,35,3.2,0,2.2
Chicken Popcorn,0,1,1,1,351,22,18,1.42,32,1140,288,21,1,0,0
Turkey cooked,0,1,1,1,203,10,27,1.52,28,78,294,0,0,8,0
Oyster cooked,0,1,1,1,159,4,29,4.9,6,81,409,0,0,0,0
Beef sticks,1,0,0,1,550,50,22,3.4,68,1531,257,5.4,0,0,0
Banana Chips,1,0,0,0,519,34,2.3,1.25,18,6,536,58,7.7,0,35
Honey,1,0,1,0,304,0,0.3,0.42,6,4,52,82,0.2,0,82
Chocolate Icecream,0,0,1,0,216,11,3.8,0.93,109,76,249,28,1.2,0,25
Vanilla Ice cream,0,0,1,0,207,11,3.5,0.09,128,80,199,24,0.7,0,21
Strawberry Icecream,0,0,1,0,192,8.4,3.2,0.21,120,60,188,28,0.9,0,0
Marshmallows,0,0,1,0,318,0.2,1.8,0.23,3,80,5,81,0.1,0,58
Chocolate milk,1,0,0,0,535,30,7.7,2.35,189,79,372,59,3.4,0,52
Rice Pudding,0,0,1,0,376,0.1,2.7,1.79,14,366,5,91,0.7,0,0
Cornstarch,0,1,1,,381,0.2,0.26,0.47,2,9,3,91.27,0.9,0,0
"Nuts, pecans",1,0,0,0,691,72,9.17,2.53,70,0,410,13.86,9.6,0,3.97
"Eggplant, raw",1,0,0,0,25,0.2,0.98,0.23,9,2,229,5.88,3,0,3.53
"Teff, uncooked",0,1,1,0,367,2.4,13.3,7.63,180,12,427,73.13,8,0,1.84
"Sherbet, orange",1,0,0,0,144,2,1.1,0.14,54,46,96,30.4,1.3,0,24.32
"Cauliflower, raw",0,1,1,0,25,0.3,1.92,0.42,22,30,299,4.97,2,0,1.91
"Taro leaves, raw",0,1,1,0,42,0.7,4.98,2.25,107,3,648,6.7,3.7,0,3.01
"Lamb, raw, ground",0,1,1,0,282,23,16.56,1.55,16,59,222,0,0,2,0
"Cheese, camembert",1,0,0,0,300,24,19.8,0.33,388,842,187,0.46,0,18,0.46
Vegetarian fillets,1,0,0,0,290,18,23,2,95,490,600,9,6.1,0,0.8
"PACE, Picante Sauce",1,1,1,0,25,0,0,0,0,781,0,6.25,3.1,0,6.25
"Goji berries, dried",0,0,1,0,349,0.4,14.26,6.8,190,298,0,77.06,13,0,45.61
"Mango nectar, canned",1,0,0,0,51,0.1,0.11,0.36,17,5,24,13.12,0.3,0,12.45
"Crackers, rusk toast",1,0,1,0,407,7.2,13.5,2.72,27,253,245,72.3,0,0,0
"Chicken, boiled, feet",1,0,0,0,215,15,19.4,0.91,88,67,31,0.2,0,8,0
"Quail, raw, meat only",0,1,1,0,134,4.5,21.76,4.51,13,51,237,0,0,0,0
"Pie, lemon, fried pies",1,0,0,0,316,16,3,1.22,22,374,65,42.6,2.6,0,0
"Peppers, raw, jalapeno",0,1,1,0,29,0.4,0.91,0.25,12,3,248,6.5,2.8,0,4.12
"Winged bean tuber, raw",1,0,0,0,148,0.9,11.6,2,30,35,586,28.1,0,0,0
"Salami, turkey, cooked",0,1,1,0,172,9.2,19.2,1.25,40,1107,216,1.55,0.1,24,1.12
"Grapes, raw, muscadine",1,0,0,0,57,0.5,0.81,0.26,37,1,203,13.93,3.9,0,0
"Nuts, raw, ginkgo nuts",0,1,1,0,182,1.7,4.32,1,2,7,510,37.6,0,0,0
"Spices, ground, savory",0,1,1,1,272,5.9,6.73,37.88,2132,24,1051,68.73,45.7,0,0
"Candies, sesame crunch",0,0,1,1,516,33,11.6,4.27,639,167,307,50.3,7.7,0,31.17
"Cheese, low fat, cream",0,0,1,0,201,15,7.85,0.17,148,359,247,8.13,0,11,5.82
"PACE, Green Taco Sauce",0,0,1,0,25,0,0,0,0,0,0,6.25,0,0,6.25
"Syrup, Canadian, maple",0,1,1,0,270,0,0,0.11,109,9,225,67.38,0,0,59.92
"Ostrich, raw, top loin",0,1,1,1,119,3,21.67,3.13,6,81,312,0,0,0,0
"Chewing gum, sugarless",0,1,1,0,268,0.4,0,0,20,7,0,94.8,2.4,0,0
"Nuts, dried, pine nuts",0,1,1,1,673,68,13.69,5.53,16,2,597,13.08,3.7,0,3.59
"Pasta, unenriched, dry",0,1,1,0,371,1.5,13.04,1.3,21,6,223,74.67,3.2,0,2.67
"McDONALD'S, Side Salad",0,1,1,0,20,0.2,1.03,0.65,24,12,220,4.3,1.6,0,2.24
"Cookies, Marie biscuit",1,0,1,0,406,11,7.05,0,0,370,307,70.54,3.5,0,21.16
"Broccoli, raw, chinese",1,0,1,0,30,0.8,1.2,0.59,105,7,274,4.67,2.6,0,0.88
"McDONALD'S, Hash Brown",1,1,1,0,271,16,2.48,0.56,19,580,341,28.56,2.8,0,0.54
"Agave, raw (Southwest)",1,1,1,0,68,0.2,0.52,1.8,417,14,127,16.23,6.6,0,2.58
"Emu, raw, outside drum",1,0,0,0,103,0.5,23.08,4.5,3,100,320,0,0,0,0
"Nuts, dried, beechnuts",0,1,1,0,576,50,6.2,2.46,1,38,1017,33.5,0,0,0
"Currants, dried, zante",1,1,1,0,283,0.3,4.08,3.26,86,8,892,74.08,6.8,0,67.28
"Lentils, raw, sprouted",1,1,1,0,106,0.6,8.96,3.21,25,11,322,22.14,0,0,0
"Gravy, mix, dry, onion",1,0,0,0,322,3,9,1,280,4186,262,67.64,6,0,0
"Pie, fruit, fried pies",0,1,1,0,316,16,3,1.22,22,333,65,42.6,2.6,0,21.4
"Snacks, cakes, popcorn",1,1,1,0,384,3.1,9.7,1.87,9,288,327,80.1,2.9,0,0.72
"Snack, Mixed Berry Bar",1,0,0,0,383,11,13.16,1.89,105,447,446,58.84,7.9,2,26.32
"Fish, raw, sheepshead",0,1,1,0,108,2.4,20.21,0.46,21,71,404,0,0,0,0
"Babyfood, pear, juice",1,0,0,0,47,0,0,0,12,8,130,11.86,0.1,0,7.28
"Brussels sprouts, raw",1,1,1,0,43,0.3,3.38,1.4,42,25,389,8.95,3.8,0,2.2
"Broccoli raab, cooked",1,0,0,1,33,0.5,3.83,1.27,118,56,343,3.12,2.8,0,0.62
"Butter oil, anhydrous",1,1,0,0,876,99,0.28,0,4,2,5,0,0,0,0
"Chicory, raw, witloof",1,1,1,0,17,0.1,0.9,0.24,19,2,211,4,3.1,0,0
"KEEBLER, Waffle Cones",0,1,1,0,424,5.3,6.5,3,0,149,100,87.7,1.8,0,31.6
"KEEBLER, Waffle Bowls",1,0,0,0,424,5.3,6.5,3,0,149,100,87.7,1.8,0,31.6
"Broccoli, raw, leaves",1,1,1,0,28,0.4,2.98,0.88,48,27,325,5.06,2.3,0,1.48
"Durian, raw or frozen",1,0,0,0,147,5.3,1.47,0.43,6,2,436,27.09,3.8,0,0
"Tomatoes, raw, orange",1,0,0,0,16,0.2,1.16,0.47,5,42,212,3.18,0.9,0,0
"Tomatoes, raw, yellow",1,0,0,0,15,0.3,0.98,0.49,11,23,258,2.98,0.7,0,0
"Egg custards, dry mix",0,1,1,0,410,6.4,6.9,1.93,228,281,540,82.8,0,0,0
"Peanut flour, low fat",0,1,1,1,428,22,33.8,4.74,130,1,1358,31.27,15.8,0,0
"Fish, smoked, haddock",1,0,0,0,116,1,25.23,1.4,49,763,415,0,0,34,0
"DENNY'S, french fries",0,1,1,0,282,14,3.41,0.72,14,44,492,35.2,3.5,0,0.85
"Ground turkey, cooked",0,1,1,0,203,10,27.37,1.52,28,78,294,0,0,8,0
"MURRAY, Vanilla Wafer",0,1,1,0,461,17,4,0,0,401,84,72.9,1.4,0,31.5
"WENDY'S, french fries",1,0,0,0,301,14,3.73,0.93,16,219,625,39.73,4,0,0.4
"Bread, toasted, wheat",1,0,0,0,313,4.3,12.96,4.09,165,601,223,55.77,4.7,0,6.42
"Danish pastry, cheese",1,0,0,0,374,22,8,1.8,35,417,98,37.2,1,2,6.95
"Nuts, glazed, walnuts",1,1,0,0,500,36,8.28,1.29,71,446,232,47.59,3.6,0,32.14
"Spices, garlic powder",0,1,1,1,331,0.7,16.55,5.65,79,60,1193,72.73,9,0,2.43
"Oil, soybean lecithin",0,1,1,1,763,100,0,0,0,0,0,0,0,0,0
"Egg, fresh, raw, yolk",0,0,1,1,322,27,15.86,2.73,129,48,109,3.59,0,218,0.56
"Fireweed, raw, leaves",0,1,1,1,103,2.8,4.71,2.4,429,34,494,19.22,10.6,0,0
"Beef, pastrami, cured",0,1,1,0,147,5.8,21.8,2.22,10,1078,210,0.36,0,4,0.1
"Frankfurter, meatless",0,0,1,1,233,14,19.61,1.41,33,471,98,7.7,3.9,0,0
"Emu, raw, flat fillet",0,0,1,1,102,0.7,22.25,5,3,150,240,0,0,0,0
"Emu, raw, inside drum",0,1,1,0,108,1.5,22.22,5.23,4,102,318,0,0,0,0
"Ice creams, chocolate",0,0,1,1,216,11,3.8,0.93,109,76,249,28.2,1.2,8,25.36
"Snacks, potato sticks",0,0,1,1,522,34,6.7,2.27,18,633,1237,53.3,3.4,0,0.22
"USDA Commodity, salsa",1,1,1,0,36,0.2,1.5,2.24,12,430,270,7,1.4,0,0
"Figs, uncooked, dried",0,1,1,1,249,0.9,3.3,2.03,162,10,680,63.87,9.8,0,47.92
"Game meat, raw, horse",0,1,1,1,133,4.6,21.39,3.82,6,53,360,0,0,0,0
"Syrup, fruit flavored",0,1,1,1,261,0,0,0.03,0,0,1,65.1,0,0,65
"Broccoli, raw, stalks",1,0,0,1,28,0.4,2.98,0.88,48,27,325,5.24,0,0,0
"Cream, cultured, sour",1,0,0,0,198,19,2.44,0.07,101,31,125,4.63,0,0,3.41
"Gravy, canned, au jus",1,0,1,0,16,0.2,1.2,0.6,4,478,81,2.5,0,0,0
"McDONALD'S, Hamburger",0,0,1,0,264,10,12.92,2.87,127,494,192,30.28,1.3,0,6.03
"Cheese, port de salut",0,0,1,0,352,28,23.78,0.43,650,534,136,0.57,0,21,0.57
SILK Original Creamer,0,0,1,0,100,6.7,0,0,0,67,0,6.67,0,0,0
SILK Hazelnut Creamer,0,0,1,0,133,6.7,0,0,0,67,0,20,0,0,20
"Soup, mix, dry, onion",1,0,0,0,293,0.3,7.48,1.25,143,8031,721,65.07,6.6,0,4.65
"Mushrooms, raw, enoki",0,0,1,0,37,0.3,2.66,1.15,0,3,359,7.81,2.7,5,0.22
Bacon and beef sticks,0,1,1,,517,44,29.1,1.86,14,1420,385,0.8,0,0,0.8
"Salami, pork, Italian",1,0,0,0,425,37,21.7,1.52,10,1890,340,1.2,0,0,1.2
"Crackers, whole-wheat",1,0,0,0,427,14,10.58,3.34,36,704,345,69.55,10.3,0,1.19
"Peanuts, raw, spanish",0,1,1,0,570,50,26.15,3.91,106,22,744,15.83,9.5,0,0
"Hominy, white, canned",1,0,0,0,72,0.9,1.48,0.62,10,345,9,14.26,2.5,0,1.82
"Game meat, raw, moose",0,1,1,0,102,0.7,22.24,3.21,5,65,317,0,0,0,0
"Pears, red anjou, raw",0,1,1,0,62,0.1,0.33,0.19,11,1,123,14.94,3,0,9.54
"Horseradish, prepared",0,1,1,0,48,0.7,1.18,0.42,56,420,246,11.29,3.3,0,7.99
"Fish, raw, butterfish",1,0,0,0,146,8,17.28,0.5,22,89,375,0,0,0,0
"Lebanon bologna, beef",1,0,0,0,172,10,19.03,2.15,20,1374,330,0.44,0,10,0
Ham and cheese spread,1,1,1,0,245,19,16.18,0.76,217,1197,162,2.28,0,0,0
"TACO BELL, Taco Salad",0,0,1,0,170,9.2,6.69,1.77,95,363,229,15.1,3,0,0
"Sauce, worcestershire",1,0,0,0,78,0,0,5.3,107,980,800,19.46,0,0,10.03
"Candies, marshmallows",1,0,1,0,318,0.2,1.8,0.23,3,80,5,81.3,0.1,0,57.56
"Hummus, home prepared",1,0,0,0,177,8.6,4.86,1.56,49,242,173,20.12,4,0,0.27
Horned melon (Kiwano),0,1,1,0,44,1.3,1.78,1.13,13,2,123,7.56,0,0,0
Ice cream sundae cone,1,0,0,0,254,14,3,0.36,60,115,204,28.89,1,4,21.26
"Peppers, raw, serrano",0,1,1,0,32,0.4,1.74,0.86,11,10,305,6.7,3.7,0,3.83
"Cabbage, cooked, napa",1,0,0,0,12,0.2,1.1,0.74,29,11,87,2.23,0,0,0
"Peppers, dried, ancho",0,1,1,0,281,8.2,11.86,10.93,61,43,2411,51.42,21.6,0,0
"Parsley, freeze-dried",1,0,0,0,271,5.2,31.3,53.9,176,391,6300,42.38,32.7,0,0
"Spices, black, pepper",0,1,1,0,251,3.3,10.39,9.71,443,20,1329,63.95,25.3,0,0.64
"Spices, white, pepper",0,1,1,1,296,2.1,10.4,14.31,265,5,73,68.61,26.2,0,0
"Yambean (jicama), raw",0,0,1,1,38,0.1,0.72,0.6,12,4,150,8.82,4.9,0,1.8
"Nuts, dried, pilinuts",0,0,1,0,719,80,10.8,3.53,145,3,507,3.98,0,0,0
"Kiwifruit, raw, green",0,0,1,0,61,0.5,1.14,0.31,34,3,312,14.66,3,0,8.99
"Drumstick leaves, raw",0,1,1,0,64,1.4,9.4,4,185,9,337,8.28,2,0,0
"Yautia (tannier), raw",0,1,1,1,98,0.4,1.46,0.98,9,21,598,23.63,1.5,0,0
"Candies, butterscotch",0,1,1,0,391,3.3,0.03,0.01,4,391,3,90.4,0,0,80.46
"Cucumber, raw, peeled",0,1,1,1,12,0.2,0.59,0.22,14,2,136,2.16,0.7,0,1.38
"Dandelion greens, raw",0,1,1,0,45,0.7,2.7,3.1,187,76,397,9.2,3.5,0,0.71
"Melons, raw, honeydew",0,1,1,0,36,0.1,0.54,0.17,6,18,228,9.09,0.8,0,8.12
Potato salad with egg,1,0,1,0,157,9.4,1.96,0.5,15,329,242,16.18,1.3,4,4.95
"Mushrooms, raw, white",1,0,1,0,22,0.3,3.09,0.5,3,5,318,3.26,1,7,1.98
"Mushrooms, raw, morel",1,1,1,0,31,0.6,3.12,12.18,43,21,411,5.1,2.8,206,0.6
"Cheese, Mexican blend",1,1,1,0,358,29,23.54,0.59,659,338,85,1.75,0,21,1.23
"Oranges, Florida, raw",1,0,0,0,46,0.2,0.7,0.09,43,0,169,11.54,2.4,0,9.14
"SILK Vanilla, soymilk",0,1,1,0,41,1.4,2.47,0.44,123,39,123,4.12,0.4,49,2.88
"Papaya nectar, canned",1,1,1,0,57,0.2,0.17,0.34,10,5,31,14.51,0.6,0,13.91
"Fiddlehead ferns, raw",1,1,1,0,34,0.4,4.55,1.31,32,1,370,5.54,0,0,0
SILK Peach soy yogurt,1,0,0,0,94,1.2,2.35,0.64,176,15,0,18.82,0.6,0,14.71
SILK Plain soy yogurt,0,1,1,0,66,1.8,2.64,0,132,13,0,9.69,0.4,53,5.29
"PACE, Enchilada Sauce",1,1,1,0,40,0,1.67,0.6,0,867,0,8.33,1.7,0,6.67
Yeast extract spread,1,0,0,0,185,0.9,23.88,4.04,67,3380,2100,20.42,6.5,0,1.6
"Tomatoes, raw, green",0,1,1,0,23,0.2,1.2,0.51,13,13,204,5.1,1.1,0,4
"Mollusks, raw, snail",1,0,0,0,90,1.4,16.1,3.5,10,70,382,2,0,0,0
"Emu, raw, fan fillet",1,1,1,0,103,0.8,22.5,4.5,3,120,300,0,0,0,0
"Pasta, enriched, dry",1,0,0,1,371,1.5,13.04,3.3,21,6,223,74.67,3.2,0,2.67
"Cookies, gingersnaps",1,1,0,0,416,9.8,5.6,6.4,77,501,346,76.9,2.2,0,19.92
"Sour cream, fat free",1,1,1,0,74,0,3.1,0,125,141,129,15.6,0,0,0.39
"MURRAY, Honey Graham",0,1,1,0,445,13,5.9,3.8,379,477,76,75.7,2.7,0,22
"Frankfurter, chicken",1,0,0,0,223,16,15.51,1.17,74,1027,202,2.74,0,21,2.98
"Ham, canned, chopped",1,1,1,0,239,19,16.06,0.95,7,1280,284,0.26,0,24,0
"Spices, dried, thyme",1,0,0,0,276,7.4,9.11,123.6,1890,55,814,63.94,37,0,1.71
"Carrot juice, canned",1,0,0,0,40,0.2,0.95,0.46,24,66,292,9.28,0.8,0,3.91
"Corn, dried (Navajo)",1,0,0,0,386,5.2,9.88,1.92,15,13,511,74.93,0,0,5.38
"Pate, truffle flavor",0,1,1,0,327,29,11.2,3.94,70,807,138,6.3,0,0,0
"Fruit butters, apple",0,1,1,1,173,0.3,0.39,0.31,14,15,91,42.47,1.5,0,35.3
"Fast foods, coleslaw",1,0,0,0,153,9.9,0.95,0.22,30,203,129,14.89,1.9,0,12.19
"Salami, beef, cooked",0,1,1,0,261,22,12.6,2.2,6,1140,188,1.9,0,48,1.5
"Spices, chili powder",0,1,1,0,282,14,13.46,17.3,330,2867,1950,49.7,34.8,0,7.19
"Spices, caraway seed",0,1,1,0,333,15,19.77,16.23,689,17,1351,49.9,38,0,0.64
"Spices, dried, basil",1,0,0,0,233,4.1,22.98,89.8,2240,76,2630,47.75,37.7,0,1.71
"Pickle relish, sweet",1,0,0,0,130,0.5,0.37,0.87,3,811,25,35.06,1.1,0,29.13
"Chives, freeze-dried",1,0,0,0,311,3.5,21.2,20,813,70,2960,64.29,26.2,0,0
"Fish, raw, sablefish",1,1,0,0,195,15,13.41,1.28,35,56,358,0,0,0,0
"Crackers, multigrain",0,1,1,1,482,20,7.1,2.59,14,883,171,67.6,3.5,0,12
"Spices, ground, mace",0,1,1,1,475,32,6.71,13.9,252,80,463,50.5,20.2,0,0
"Spices, onion powder",0,0,1,1,341,1,10.41,3.9,384,73,985,79.12,15.2,0,6.63
"Butter, without salt",0,1,1,1,717,81,0.85,0.02,24,11,24,0.06,0,0,0.06
"Rice noodles, cooked",0,1,1,0,108,0.2,1.79,0.14,4,19,4,24.01,1,0,0.03
Barley flour or meal,0,0,1,1,345,1.6,10.5,2.68,32,4,309,74.52,10.1,0,0.8
"Sesbania flower, raw",0,0,1,1,27,0,1.28,0.84,19,15,184,6.73,0,0,0
"Garlic bread, frozen",0,1,1,0,350,17,8.36,3.05,27,544,103,41.72,2.5,9,3.69
"KFC, Popcorn Chicken",0,0,1,1,351,22,17.67,1.42,32,1140,288,21.18,1,0,0
"APPLEBEE'S, coleslaw",0,0,1,1,120,7.1,0.79,0.26,36,178,156,13.17,2.8,0,9.33
"Rolls, sweet, dinner",1,1,1,0,321,7.4,10.04,2.74,62,253,149,53.58,3.1,0,15.38
"Cherries, raw, sweet",0,1,1,1,63,0.2,1.06,0.36,13,0,222,16.01,2.1,0,12.82
"Ostrich, raw, ground",0,1,1,1,165,8.7,20.22,2.91,7,72,291,0,0,0,0
"SILK Coffee, soymilk",0,1,1,1,62,1.4,2.06,0,123,41,132,10.29,0,0,9.47
"Snacks, banana chips",1,0,0,1,519,34,2.3,1.25,18,6,536,58.4,7.7,0,35.34
"Peaches, raw, yellow",1,0,0,0,39,0.3,0.91,0.25,6,0,190,9.54,1.5,0,8.39
"Rolls, wheat, dinner",1,0,1,0,273,6.3,8.6,3.55,176,524,115,46,3.8,0,1.63
"Candies, HEATH BITES",0,0,1,0,530,30,3.94,0.78,86,245,210,63.39,2,0,60.02
"Chicken, raw, ground",0,0,1,0,143,8.1,17.44,0.82,6,60,522,0.04,0,0,0
"Pears, bartlett, raw",0,0,1,0,63,0.2,0.39,0.19,9,1,101,15.01,3.1,0,9.69
"Toppings, strawberry",0,0,1,0,254,0.1,0.2,0.28,6,21,51,66.3,0.7,0,27.38
"KEEBLER, Sugar Cones",1,0,0,0,375,3.7,7.3,3.2,0,326,119,78,2.1,0,26.4
"Seaweed, raw, wakame",0,0,1,0,45,0.6,3.03,2.18,150,872,50,9.14,0.5,0,0.65
"Seaweed, dried, agar",0,1,1,,306,0.3,6.21,21.4,625,102,1125,80.88,7.7,0,2.97
"Bread, cracked-wheat",1,0,0,0,260,3.9,8.7,2.81,43,538,177,49.5,5.5,0,0
"Amaranth leaves, raw",1,0,0,0,23,0.3,2.46,2.32,215,20,611,4.02,0,0,0
"Barley, raw, pearled",0,1,1,0,352,1.2,9.91,2.5,29,9,280,77.72,15.6,0,0.8
"Polish sausage, pork",1,0,0,0,326,29,14.1,1.44,12,876,237,1.63,0,0,0
"Spices, curry powder",0,1,1,0,325,14,14.29,19.1,525,52,1170,55.83,53.2,0,2.76
"Bacon bits, meatless",0,1,1,0,476,26,32,0.72,101,1770,145,28.6,10.2,0,0
"Semolina, unenriched",0,1,1,0,360,1.1,12.68,1.23,17,1,186,72.83,3.9,0,0
"Grape leaves, canned",1,0,0,0,69,2,4.27,2.98,289,2853,29,11.71,9.9,0,0
"Spices, ground, sage",1,0,0,0,315,13,10.63,28.12,1652,11,1070,60.73,40.3,0,1.71
"PACE, Red Taco Sauce",1,1,1,0,50,0,0,0,0,813,0,12.5,0,0,6.25
"DENNY'S, hash browns",0,0,1,0,197,9,2.49,0.56,17,468,416,26.59,2.7,0,1.38
